time,world_x,world_y,world_z,world_vx,world_vy,body_forward_velocity,body_lateral_velocity,yaw,yaw_rate,upright,body_height,contact_count,floor_contact_count,fallen
0.0,2.0340968902269718e-07,-1.5636045970637887e-05,0.046680605422348795,-8.532399917215878e-12,2.8686630453483896e-10,-8.532400471468325e-12,2.8686630451835356e-10,-1.932093238149525e-09,9.107908396840198e-12,0.9999999482602687,0.046680605422348795,4,4,0
0.02,-2.091766401957255e-08,-0.0006337319299189828,0.047301345518561425,-1.1216367652113486e-05,-0.030904794197417245,-1.1173129979790495e-05,-0.030904794213079373,-1.3990603540612102e-06,-6.985641304115304e-05,0.9999741900070224,0.047301345518561425,0,0,0
0.04,1.3097176347868904e-06,-0.0017352881838394608,0.047135018906270885,6.653176494032315e-05,-0.0550778126960239,6.800943443786167e-05,-0.055077810891237006,-2.68287618794029e-05,-0.0012714850762670844,0.9999151180609596,0.047135018906270885,2,2,0
0.06,4.209731861829518e-06,-0.0028283411211152435,0.04730270387948098,0.0001450007113521314,-0.05465264686378914,0.0001445477967545655,-0.054652648063554854,8.287148355701524e-06,0.0017557955117552212,0.9999960949964414,0.04730270387948098,0,0,0
0.08,-0.00033207127010491296,-0.0040267754743581,0.04700306820268891,-0.016814050098337124,-0.05992171766214284,-0.017213281079418323,-0.05980825597500642,0.006668831360413399,0.3330272106028848,0.9999029911730495,0.04700306820268891,2,2,0
0.1,-0.0006202797476564807,-0.004068200971658761,0.04705030002872064,-0.014410423877578389,-0.002071274865033052,-0.014419184570888505,-0.002009381051132397,0.004293760625973796,-0.11875353672198014,0.9999911133446767,0.04705030002872064,1,1,0
0.12000000000000001,-0.0007278001724757426,-0.004570614468046418,0.045786451856304686,-0.005376021240963092,-0.025120674819382842,-0.0053832195497625825,-0.025119133246263005,0.00028655797175125737,-0.20036013271112693,0.9995196059658801,0.045786451856304686,4,4,0
0.14,-0.0008414657437798599,-0.007633846967199182,0.04703817207285518,-0.005683278565205864,-0.15316162495763821,-0.005979151420745697,-0.15315035998391172,0.001931839288493743,0.08226406583712428,0.999720700153644,0.04703817207285518,0,0,0
0.16,-0.0009579751714070536,-0.010548984386332717,0.045762057033207064,-0.0058254713813596865,-0.14575687095667672,-0.006840312567967232,-0.14571277113509598,0.006963586865421771,0.25158737884640137,0.9998952734659314,0.045762057033207064,3,3,0
0.18,-0.0010531103416503303,-0.01120499841217322,0.046983504185079114,-0.0047567585121638355,-0.03280070129202516,-0.005249032801699085,-0.03272553149206887,0.015024975728929982,0.4030694431754106,0.9999379441068442,0.046983504185079114,2,2,0
0.19999999999999998,-0.0010072935078092018,-0.01129950892173725,0.04671828503377775,0.002290841692056424,-0.004725525478201532,0.0022004369687523874,-0.004768293599364825,0.019044388807274996,0.2009706539172507,0.9999993059640033,0.04671828503377775,2,2,0
0.21999999999999997,-0.0006083925897342744,-0.009800763099621988,0.04582543242950399,0.019945045903746374,0.07493729110576311,0.020941169227208692,0.07466505130092553,0.013316751418388612,-0.2863818694443192,0.999642673135024,0.04582543242950399,2,2,0
0.23999999999999996,-0.0004434815016295171,-0.008433747892096907,0.04590972721627296,0.008245554405237863,0.06835076037625407,0.009149250229414919,0.06823567125559322,0.013232392518041576,-0.004217945017351808,0.9990679891721613,0.04590972721627296,2,2,0
0.25999999999999995,-0.00041475516469211443,-0.009376849984833673,0.04661802115959379,0.0014363168468701322,-0.04715510463683828,0.0008569492157328147,-0.04716919055312933,0.01228443518288589,-0.04739786675778427,0.9999934717978378,0.04661802115959379,2,2,0
0.27999999999999997,-0.0003694815586652187,-0.008327862755702267,0.047894030607121996,0.002263680301344787,0.0524493614565703,0.002958067746484305,0.05241478418266995,0.013243369161298365,0.04794669892062373,0.9997475281467297,0.047894030607121996,0,0,0
0.3,-0.000526884305528503,-0.006544894169054689,0.04756831239773061,-0.007870137343164217,0.08914842933237885,-0.007573298564758959,0.08917413673862748,0.003329230963538224,-0.49570690988800703,0.9997029642748776,0.04756831239773061,2,2,0
0.32,-0.0006450056927508278,-0.003498645972392978,0.046649668741110165,-0.005906069361116237,0.15231240983308555,-0.007616893406315049,0.15223644366345715,-0.01123501881354219,-0.7282124888540207,0.9999814976613828,0.046649668741110165,4,4,0
0.34,-0.0006151866847374553,-0.00043412045376722065,0.04709004473034963,0.0014909504006686228,0.15322627593128788,-0.00046222229109447554,0.15323283238073374,-0.01274653742505848,-0.07557593057581453,0.9999963250774435,0.04709004473034963,0,0,0
0.36000000000000004,-0.0005640783839744675,0.0017084464374411076,0.04729557039825692,0.0025554150381493883,0.10712834456041641,-0.0012188047189314651,0.1071518869144618,-0.03522331020419829,-1.1238386389569905,0.9999871943238882,0.04729557039825692,0,0,0
0.38000000000000006,-0.0007676343608143864,0.004087934499141759,0.04702327438982454,-0.010177798841995944,0.11897440308503257,-0.014651599427782672,0.11850665303229073,-0.037672659318725224,-0.12246745572634665,0.9999594195845893,0.04702327438982454,2,2,0
0.4000000000000001,-0.0008119077786102695,0.0032020560972660056,0.047879046145569586,-0.002213670889794156,-0.04429392009378766,-0.0007890674707097521,-0.04434218159506629,-0.032142225135372314,0.2765217091676455,0.9999567852459547,0.047879046145569586,0,0,0
0.4200000000000001,-0.0007381375109207211,0.0008090144813643358,0.047061604068678146,0.0036885133844774196,-0.11965208079508349,0.0066559391844234865,-0.11952373840854338,-0.024812487855951273,0.36648686397105207,0.999923705582336,0.047061604068678146,2,2,0
0.4400000000000001,-7.262241506123985e-05,-0.0017479210020908645,0.0461871865061751,0.03327575479297406,-0.12784677417276,0.028648028383989874,-0.12896264572787322,0.03603626064923725,3.042437425259426,0.9998823793268427,0.0461871865061751,2,2,0
0.46000000000000013,-1.6324407132365505e-05,-0.003141748504997947,0.04740860571209293,0.0028149003964437172,-0.06969137514535412,7.613520199385672e-05,-0.06974815866618557,0.039277427508987287,0.16205834298750194,0.9999594737058983,0.04740860571209293,1,1,0
0.48000000000000015,0.0001232168875281897,-0.004680777289785386,0.046198158891217006,0.00697706473302776,-0.07695143923937198,0.0036405649865359478,-0.07718127829906957,0.043287094352167155,0.2004833421589934,0.9999218427079836,0.046198158891217006,1,1,0
0.5000000000000001,0.0010772015867799715,-0.0048072844047973235,0.04538151695815044,0.047699234962589085,-0.006325355750596857,0.047659940776131754,-0.006614921511514926,0.006073141229855986,-1.8606976561155584,0.9997548735888488,0.04538151695815044,4,4,0
0.5200000000000001,0.001893547867904851,-0.003630535498622514,0.045786357218084724,0.040817314056243975,0.05883744530874046,0.041316562189145416,0.058487945647761955,0.008510436071037058,0.12186474205905361,0.9997154062060639,0.045786357218084724,1,1,0
0.5400000000000001,0.0017570217462034815,-0.0023069921733993616,0.04543968305175233,-0.006826306085068478,0.06617716626115763,-0.0061516667694335924,0.06624328483010024,0.010189264169524644,0.08394140492437932,0.9997599617657631,0.04543968305175233,3,3,0
0.5600000000000002,0.0016407946596024325,-0.0027543427859307184,0.04568132125003343,-0.005811354330052451,-0.02236753062656784,-0.006032543882328344,-0.022308892392668277,0.00990176608218721,-0.014374904366871739,0.999812776510128,0.04568132125003343,3,3,0
0.5800000000000002,0.001442331615166176,-0.0031305025796996558,0.046164689108639655,-0.00992315222181282,-0.018807989688446866,-0.010152062082395164,-0.01868542377397919,0.012210518877468924,0.11543763976408572,0.9998539001225553,0.046164689108639655,0,0,0
0.6000000000000002,0.0007503530070414851,-0.0021317072292226596,0.04645550584873418,-0.03459893040623455,0.04993976752384981,-0.033947428183430224,0.050384903347356666,0.012987694036987239,0.038858757975915745,0.999867933187127,0.04645550584873418,1,1,0
0.6200000000000002,0.0001568741412949281,-6.464830994096273e-05,0.04678757010881481,-0.029673943287327847,0.10335294596408484,-0.030184283251270465,0.10320505508104563,-0.004941361970422839,-0.8964528003705039,0.999960115505015,0.04678757010881481,0,0,0
0.6400000000000002,-0.0014360354590468997,0.0022933255500070765,0.04717914362608967,-0.07964548001709139,0.11789869299740195,-0.0838447084397412,0.11495028997050565,-0.03606434711371769,-1.5561492571647426,0.999934570692453,0.04717914362608967,0,0,0
0.6600000000000003,-0.0027141512490387524,0.004522999266891293,0.047041027192940434,-0.06390578949959264,0.11148368584421081,-0.07247867139426692,0.10611034037217489,-0.07875630078605128,-2.1345976836166796,0.9999929248130675,0.047041027192940434,0,0,0
0.6800000000000003,-0.002596380332949403,0.006017332068206116,0.04713856650842114,0.005888545804467473,0.07471664006574118,-0.003303610955123622,0.07487547949136633,-0.12274193926956437,-2.1992819241756543,0.9999906643866747,0.04713856650842114,0,0,0
0.7000000000000003,-0.0024608398987775054,0.00744120935170519,0.04711010657017698,0.006777021708594881,0.07119386417495369,-1.9756196476725628e-05,0.07151569009030968,-0.09518137568592219,1.3780281791821085,0.9999746508942942,0.04711010657017698,2,2,0
0.7200000000000003,-0.0006752632854562727,0.008168203954369504,0.04723477743267486,0.08927883066606163,0.036349730133215706,0.08582169448536696,0.043893612764470076,-0.08611305157382079,0.45341620560507,0.9999218939508601,0.04723477743267486,1,1,0
0.7400000000000003,0.00048443702516001453,0.009479204163854962,0.04762428048530748,0.057985015530814366,0.0655500104742729,0.04896828723017367,0.0725339420204726,-0.13041262530030226,-2.2149786863240735,0.9998164943146949,0.04762428048530748,1,1,0
0.7600000000000003,0.002747925975833329,0.010402271941702608,0.047189371527027006,0.11317444753366572,0.04615338889238226,0.10210136220221787,0.06718558414759408,-0.1947795069050775,-3.218344080238762,0.9999580485193224,0.047189371527027006,1,1,0
0.7800000000000004,0.0045028595710395495,0.010350000639914734,0.046354371307075294,0.08774667976031102,-0.0026135650893936886,0.08487809354833921,0.0224057976210277,-0.2878654192488981,-4.654295617191028,0.9994137089111857,0.046354371307075294,4,4,0
0.8000000000000004,0.005486432986469292,0.008137635694764826,0.04779243674548349,0.04917867077148712,-0.11061824725749538,0.07843687165778854,-0.0922095193009394,-0.2865264302564964,0.06694944962008509,0.9999761692767254,0.04779243674548349,0,0,0
0.8200000000000004,0.006180027392843574,0.005298794581366754,0.047161493022389235,0.034679720318714094,-0.14194205566990362,0.0760948307639239,-0.12473895502284772,-0.30813519769642783,-1.0804383719965727,0.999936476065356,0.047161493022389235,1,1,0
