wall_time,sim_time,episode,cmd_vx,cmd_yaw,x,y,z,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,reward,hz,compute_ms,deadline_misses,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
0.20471855600044364,1.7000000000000013,7,0.1,0.0,0.0015984716865946789,0.0043312428975517325,0.04685755661142725,0.0004008153256454841,-0.00037443878695550596,-0.016718424175913783,0.019593124027480088,-0.007200289620866468,-0.013854837275415359,-0.6098591401478788,0.23617248861899942,0.12440200952869584,2.0568726536972948,49.997888864129244,1.3376830002016504,1,-0.9997652173042297,0.7434990406036377,-0.9999964237213135,-0.995765209197998,-0.04995507001876831,0.8859131336212158,-0.3104710578918457,0.41644299030303955
0.40704819100028544,1.9200000000000015,7,0.1,0.0,0.0032901157655425687,0.003616183108828037,0.04669530579875466,-0.0004883824158069449,2.58692425977275e-08,-0.0262441816665634,-0.003094976772369913,-4.454271374676821e-05,-0.0010473025224774079,0.02039271571384323,-0.012163787959267633,0.11679011696399963,1.9442122732484084,49.999534804336584,0.968747999650077,1,-0.9999105334281921,0.5574414730072021,-0.9999982118606567,-0.994911253452301,-0.16703343391418457,0.9524054527282715,-0.5377218127250671,0.4000685214996338
0.6100302920003742,2.119999999999988,7,0.1,0.0,0.003084020255719594,0.0037620654869434268,0.046680449233620365,-0.0002958058924156095,-0.00021332779213370935,-0.02928527390349648,-0.0001794759895618141,0.0002257659134411467,-1.1443427726228453e-06,-2.463756417306394e-05,3.84982389042707e-05,-0.003805982811193142,1.9661606282801023,49.9986428618315,1.2175499996374128,1,-0.9999090433120728,0.6067554950714111,-0.9999988675117493,-0.9947910308837891,-0.14582735300064087,0.9533951282501221,-0.5229465365409851,0.41920900344848633
0.8130570200000875,2.319999999999966,7,0.1,0.0,0.0030708500119122364,0.0037741424090789798,0.04668042919078046,-0.0002969466235326798,-0.00021303543047619477,-0.029523890683514114,-8.820498571030569e-06,7.62376062228095e-06,1.771849219830687e-07,5.759709957003984e-07,2.5994773123907657e-06,-0.00012282486550203682,1.9675389552878961,50.00106512268038,1.2004390000583953,1,-0.999910295009613,0.6077430248260498,-0.9999988675117493,-0.9948564171791077,-0.144842267036438,0.9534302949905396,-0.5221555829048157,0.419608473777771
1.0154091100002915,2.519999999999944,7,0.1,0.0,0.003070287372279227,0.003774605421421745,0.04668044356071699,-0.0002966961906478179,-0.00021247134195503907,-0.029532007540190773,-2.2678468535011678e-07,1.6506795176432477e-07,1.2500005836732495e-08,9.440067337618166e-08,3.2787339316980275e-07,-1.8648959413778634e-06,1.9675999818265075,50.00461837655183,0.9303269998781616,1,-0.9999103546142578,0.607776403427124,-0.9999988675117493,-0.9948649406433105,-0.14479517936706543,0.9534337520599365,-0.5221585631370544,0.4197120666503906
1.2184743240004536,2.719999999999922,7,0.1,0.0,0.0030702766298287003,0.003774612020144903,0.04668044429365677,-0.0002966886190824719,-0.000212444308909807,-0.029532069679259407,2.224888985840762e-09,-5.48327635086057e-09,3.571648303646169e-10,-2.3106300663285307e-09,7.55454049342253e-09,1.7968546507864257e-07,1.9676015710207557,49.998839301953346,1.2419650001902482,1,-0.9999103546142578,0.6077760457992554,-0.9999988675117493,-0.9948651790618896,-0.14479517936706543,0.9534339904785156,-0.5221602916717529,0.4197171926498413
1.4212354950004737,2.9199999999999,7,0.1,0.0,0.003070277301075265,0.003774611279165599,0.04668044431151088,-0.00029668844379141917,-0.00021244359901183673,-0.02953205353408474,8.095548719622593e-10,-1.1020334825217314e-09,-1.0167189425305583e-11,-2.504449497235569e-10,-2.4645089032220944e-10,1.814875164167692e-08,1.967601558154088,50.000492054845544,0.9375500003443449,1,-0.9999103546142578,0.6077759265899658,-0.9999988675117493,-0.9948651790618896,-0.1447952389717102,0.9534341096878052,-0.5221602916717529,0.41971707344055176
1.62427778700021,3.119999999999878,7,0.1,0.0,0.00307027759319015,0.003774610973854118,0.04668044431197437,-0.0002966881979678932,-0.00021244338336210268,-0.029532048481569546,-1.175129458881085e-08,1.3783543006242334e-08,-4.5497133330589715e-11,4.465240836908838e-09,2.4465392249466215e-09,-3.7545858427778885e-07,1.967601451846203,49.99640460856394,1.5183179993982776,1,-0.9999103546142578,0.6077760457992554,-0.9999988675117493,-0.9948651790618896,-0.14479517936706543,0.9534341096878052,-0.5221601724624634,0.41971707344055176
1.8275401020000572,3.3399999999998538,7,0.1,0.0,0.003070277539927258,0.0037746110243081646,0.04668044430933732,-0.0002966887269160376,-0.00021244389732844382,-0.029532046534893535,1.565163155332642e-08,-1.830090335670065e-08,1.241954994535467e-10,1.5013965985155414e-08,1.0067706318308406e-08,3.759515281012134e-07,1.967601663436544,50.00140936472522,0.9525280001980718,1,-0.9999103546142578,0.6077756881713867,-0.9999988675117493,-0.9948651790618896,-0.14479517936706543,0.9534341096878052,-0.5221603512763977,0.41971707344055176
2.0299597430002905,3.5399999999998317,7,0.1,0.0,0.0030702777183098337,0.003774610882657061,0.04668044431174179,-0.00029668847992720803,-0.00021244359783832394,-0.029532044262194343,8.577971479937737e-09,-9.061523968521653e-09,1.4446058335662593e-11,-5.734759826166416e-09,-2.486780695993279e-09,2.516489470224142e-07,1.9676016146220197,49.99719038289596,1.334737000433961,1,-0.9999103546142578,0.6077756881713867,-0.9999988675117493,-0.9948651790618896,-0.14479517936706543,0.9534339904785156,-0.5221602916717529,0.4197169542312622
2.2332695929999318,3.7399999999998097,7,0.1,0.0,0.0030702774002009173,0.0037746111785992294,0.046680444309354446,-0.00029668849228557757,-0.00021244366052954405,-0.029532051430395934,-2.3018890241568497e-09,1.7763646551611795e-09,-2.0202862585267e-11,-3.734904670775248e-09,-4.559188055581509e-09,-2.7224699111653415e-08,1.967601536519866,49.99914603957824,1.206588999593805,1,-0.9999103546142578,0.6077759265899658,-0.9999988675117493,-0.9948651790618896,-0.14479517936706543,0.9534341096878052,-0.5221602320671082,0.4197169542312622
