cycle,start_time,end_time,delta_forward,delta_lateral,delta_yaw_deg,right_contact_duty,left_contact_duty,contact_duty_difference,right_tracking_error_deg,left_tracking_error_deg,tracking_error_difference_deg
0,0.0,0.66,-0.0027143546674966773,0.0045386353076183215,-4.51240353440276,0.5588235294117647,0.35294117647058826,0.20588235294117646,0.626087479966279,0.7547094637277231,-0.12862198376144404
1,0.68,1.32,0.005214803852489251,0.0029162669249725675,5.052435379764611,0.6060606060606061,0.45454545454545453,0.15151515151515155,0.8061771428282598,0.8368730958270912,-0.03069595299883152
2,1.34,1.98,-0.014743909655369173,0.009416232756438547,16.273421038488124,0.6363636363636364,0.42424242424242425,0.2121212121212121,0.8081479803724859,0.8757457107144739,-0.06759773034198806
3,2.0,2.66,-0.03272634842825183,0.03894243211318812,10.59980105246388,0.38235294117647056,0.4411764705882353,-0.05882352941176472,0.7362199606874181,0.9519465773672839,-0.21572661667986573
4,2.68,3.3200000000000003,0.00016681593676367686,0.0005233307065473865,-3.9216865957071745,0.6363636363636364,0.3333333333333333,0.30303030303030304,0.7301707644291245,0.862395667777776,-0.13222490334865145
5,3.34,3.98,0.018740175489994612,0.04903161667615809,-11.628086958752961,0.5454545454545454,0.45454545454545453,0.09090909090909088,0.7015628235259773,0.9156667696834327,-0.21410394615745537
6,4.0,4.66,-0.01437608210277709,0.008392002446477018,-33.12558803988747,0.5882352941176471,0.38235294117647056,0.20588235294117652,0.7850568901747623,0.8795010095297746,-0.09444411935501229
7,4.68,5.32,-0.03699179220626316,0.01375971653890551,23.533184390728483,0.5454545454545454,0.3939393939393939,0.1515151515151515,0.8076829497004085,0.8248179377901631,-0.01713498808975459
8,5.34,5.98,-0.011192659983204314,0.02272899101916713,2.606446137504402,0.5757575757575758,0.5454545454545454,0.030303030303030387,0.7708052119763118,0.9870456591291702,-0.21624044715285845
9,6.0,6.66,-0.0066923388887541145,0.009656521445656218,-4.238643704782902,0.5,0.3235294117647059,0.1764705882352941,0.6512755663140333,0.8090093176879773,-0.1577337513739441
10,6.68,7.32,0.007217368504887396,0.06197330402666703,12.237279864214635,0.48484848484848486,0.3333333333333333,0.15151515151515155,0.6314280310653315,0.8480998306342379,-0.2166717995689063
11,7.34,7.98,-0.007224518191559377,-0.004205707251178716,-9.161977440935376,0.3939393939393939,0.30303030303030304,0.09090909090909088,0.7256320965629575,0.8086863205639734,-0.08305422400101589
12,8.0,8.66,0.022638145359006774,0.01974954786698872,-15.542642195394542,0.4411764705882353,0.3235294117647059,0.11764705882352938,0.7672953794574278,0.8243798366951703,-0.05708445723774264
13,8.68,9.32,-0.0038109061855182906,0.0009222825149934652,-19.48994678475693,0.5757575757575758,0.3939393939393939,0.18181818181818188,0.7159569809725829,0.8812194684024931,-0.16526248742991023
14,9.34,9.98,0.0035308205556071237,0.005536433232364786,17.372509349869283,0.30303030303030304,0.3333333333333333,-0.030303030303030276,0.7478765738826818,0.8574665923792302,-0.10959001849654841
15,10.0,10.66,-0.0064318565600131545,-0.000729851535746806,12.737062168768576,0.5,0.47058823529411764,0.02941176470588236,0.7753620536482395,0.886459941899224,-0.1110978882509845
16,10.68,11.32,-0.02047399616626228,0.018479177525410555,3.229503153446857,0.5151515151515151,0.3333333333333333,0.18181818181818182,0.7607993638877332,0.996643730164108,-0.23584436627637478
17,11.34,11.98,-0.013120909354913734,0.0005756692306557513,18.508070506701916,0.5454545454545454,0.36363636363636365,0.18181818181818177,0.7008484637230162,0.8588400356917197,-0.1579915719687036
18,12.0,12.66,-0.01824117280596208,0.03971985759589959,-2.6207681265499563,0.5588235294117647,0.4411764705882353,0.11764705882352944,0.7539184597949685,0.877764742092118,-0.1238462822971494
19,12.68,13.32,-0.02662484580777069,0.02577302715819032,21.76704385151322,0.6060606060606061,0.5151515151515151,0.09090909090909094,0.7788996473199618,0.8280342758737741,-0.04913462855381241
20,13.34,13.98,0.03372018179047814,0.0029802908401172674,14.131741558397117,0.6060606060606061,0.5454545454545454,0.06060606060606066,0.7715097570751019,0.8787843084033683,-0.10727455132826634
21,14.0,14.66,0.007068791487186539,-0.005837722491734646,11.019990541164255,0.47058823529411764,0.38235294117647056,0.08823529411764708,0.8753520669138658,0.8996086242168088,-0.024256557302942947
22,14.68,15.32,0.04181286804962998,0.028115232138823387,-43.04882508553554,0.3939393939393939,0.5454545454545454,-0.1515151515151515,0.73444819189002,0.8481254438060412,-0.11367725191602117
