step,time,cycle,phase,world_x,world_y,world_z,body_forward_velocity,body_lateral_velocity,yaw,yaw_deg,yaw_rate_deg_s,upright,right_contact,left_contact,floor_contact_count,right_tracking_error,left_tracking_error,R1_cmd,R1_actual,R1_error,R2_cmd,R2_actual,R2_error,L1_cmd,L1_actual,L1_error,L2_cmd,L2_actual,L2_error,R4_cmd,R4_actual,R4_error,R3_cmd,R3_actual,R3_error,L3_cmd,L3_actual,L3_error,L4_cmd,L4_actual,L4_error
0,0.0,0,0.0,2.0340968902269718e-07,-1.5636045970637887e-05,0.046680605422348795,-8.532400471468325e-12,2.8686630451835356e-10,-1.932093238149525e-09,-1.1070078817173244e-07,5.218447113307071e-10,0.9999999482602687,2,2,4,0.0001537758386830163,0.00012785682413612458,2.356194490192345,2.3561962571526203,-1.766960275428886e-06,0.7853981633974483,0.7853963773113071,1.786086141208898e-06,0.7853981633974483,0.7853996572282489,-1.4938308006140488e-06,2.356194490192345,2.3561930211408466,1.4690514982262926e-06,1.9173632530831456e-17,-0.0003052999943537103,0.0003052999943537295,3.141592653589793,3.141898903903755,-0.0003062503139616979,0.0,-0.000254639015011971,0.000254639015011971,3.141592653589793,3.141846478989027,-0.00025382539923368697
1,0.02,0,0.030000000000000002,-2.091766401957255e-08,-0.0006337319299189828,0.047301345518561425,-1.1173129979790495e-05,-0.030904794213079373,-1.3990603540612102e-06,-8.0160253571786e-05,-0.0040024776391807135,0.9999741900070224,0,0,0,0.0030834454517196753,0.008594480554223736,2.377317330994189,2.371300298899599,0.006017032094590036,0.7642753225956039,0.7702875817546729,-0.006012259159069,0.7642753225956039,0.7700108096575594,-0.00573548706195548,2.377317330994189,2.37156857145105,0.005748759543139137,1.2293757153731727e-17,0.00014096619250735895,-0.00014096619250734664,3.141592653589793,3.141429129229081,0.00016352436071231935,0.029337278891450547,0.017888042970251046,0.0114492359211995,3.112255374698343,3.1236998143889436,-0.011444439690600827
2,0.04,0,0.060000000000000005,1.3097176347868904e-06,-0.0017352881838394608,0.047135018906270885,6.800943443786167e-05,-0.055077810891237006,-2.68287618794029e-05,-0.0015371748252512567,-0.07285072858397353,0.9999151180609596,2,0,2,0.010445930219880514,0.029376157416106587,2.4112354359000623,2.425270871989917,-0.014035436089854691,0.7303572176897306,0.7164373318205386,0.013919885869192017,0.7303572176897306,0.7501240131656076,-0.019766795475877008,2.4112354359000623,2.3914331945183847,0.019802241381677632,7.882515987093243e-18,0.006933178593002548,-0.00693317859300254,3.141592653589793,3.1346974332623203,0.006895220327472806,0.07644575792738567,0.03752122609337219,0.03892453183401348,3.0651468956624077,3.104157956635266,-0.039011060972858225
3,0.06,0,0.09,4.209731861829518e-06,-0.0028283411211152435,0.04730270387948098,0.0001445477967545655,-0.054652648063554854,8.287148355701524e-06,0.0004748186249804772,0.10059967251158669,0.9999960949964414,0,0,0,0.007112085592017908,0.031043135175841848,2.451887547328047,2.439033255537555,0.012854291790492134,0.6897051062617457,0.7025862223433513,-0.012881116081605581,0.6897051062617457,0.711673254012933,-0.021968147751187272,2.451887547328047,2.4299313785273573,0.021956168800689735,5.054114662409772e-18,0.0013676272637048142,-0.0013676272637048092,3.141592653589793,3.140247346357524,0.0013453072322691106,0.1329070237995869,0.09279436410984923,0.04011265968973768,3.0086856297902065,3.048821194251959,-0.040135564461752704
4,0.08,0,0.12000000000000001,-0.00033207127010491296,-0.0040267754743581,0.04700306820268891,-0.017213281079418323,-0.05980825597500642,0.006668831360413399,0.38209589123617493,19.08105363055972,0.9999029911730495,2,0,2,0.01648294565168392,0.028652135009752472,2.4947176048841726,2.518202020755323,-0.023484415871150244,0.6468750487056205,0.6168255484177487,0.03004950028787179,0.6468750487056205,0.6141031811527279,0.03277186755289263,2.4947176048841726,2.5167827230109117,-0.02206511812673906,3.2405992024134268e-18,-0.005730018239029711,0.005730018239029714,3.141592653589793,3.134924805381109,0.006667848208683935,0.19239321484976085,0.1660914713803407,0.026301743469420158,2.9491994387400324,2.9826692496299905,-0.03346981088995804
5,0.1,0,0.15000000000000002,-0.0006202797476564807,-0.004068200971658761,0.04705030002872064,-0.014419184570888505,-0.002009381051132397,0.004293760625973796,0.24601436210774896,-6.804076456421298,0.9999911133446767,1,0,1,0.005705494681079715,0.01370417874641812,2.536210453397377,2.5293435443757253,0.006866909021651768,0.605382200192416,0.6103975144178972,-0.005015314225481293,0.605382200192416,0.6143097899393107,-0.008927589746894782,2.536210453397377,2.525617086383271,0.010593367014105848,2.077808655349242e-18,-0.00923946712880104,0.009239467128801042,3.141592653589793,3.1398923652414084,0.0017002883483847597,0.25002217111810054,0.23418375031154798,0.015838420806552567,2.8915704824716926,2.911027819889812,-0.01945733741811928
6,0.12,0,0.18,-0.0007278001724757426,-0.004570614468046418,0.045786451856304686,-0.0053832195497625825,-0.025119133246263005,0.00028655797175125737,0.016418562367176114,-11.479789987028642,0.9995196059658801,2,2,4,0.015022273658461809,0.05044171294569956,2.57361518717094,2.550066398898213,0.023548788272726995,0.5679774664188534,0.5933989112577095,-0.02542144483885611,0.5679774664188534,0.507095885280945,0.060881581137908425,2.57361518717094,2.63642756728854,-0.06281238011760015,1.3322501607199487e-18,-0.009563736174656084,0.009563736174656086,3.141592653589793,3.143147778937401,-0.001555125347608044,0.3019731902480486,0.3366692855648485,-0.0346960953167999,2.8396194633417444,2.7962426681312547,0.04337679521048976
7,0.14,0,0.21000000000000002,-0.0008414657437798599,-0.007633846967199182,0.04703817207285518,-0.005979151420745697,-0.15315035998391172,0.001931839288493743,0.11068623792824733,4.713383778053561,0.999720700153644,0,0,0,0.01536814871452502,0.0067330851366766,2.604785372239093,2.57655671240751,0.02822865983158307,0.5368072813507,0.5646593442383828,-0.027852062887682827,0.5368072813507,0.5266252443149666,0.010182037035733393,2.604785372239093,2.6163108111900004,-0.011525438950907407,8.542126755362862e-19,-0.0035574004863041537,0.0035574004863041546,3.141592653589793,3.143427125242323,-0.0018344716525300342,0.3452651139538171,0.3410155735857567,0.004249540368060412,2.796327539635976,2.7973028638279813,-0.0009753241920051892
8,0.16,0,0.24000000000000002,-0.0009579751714070536,-0.010548984386332717,0.045762057033207064,-0.006840312567967232,-0.14571277113509598,0.006963586865421771,0.39898413766140184,14.414894986657725,0.9998952734659314,2,1,3,0.020565426258529453,0.00965713204690416,2.6280901540616473,2.668200812731919,-0.040110658670271526,0.5135024995281455,0.4911536385994805,0.022348860928665004,0.5135024995281455,0.5136386742238194,-0.00013617469567384077,2.6280901540616473,2.6213567903305175,0.00673336373112976,5.477044151021468e-19,-0.008031152724364589,0.008031152724364589,3.141592653589793,3.15336368630061,-0.011771032710816698,0.3776328664851427,0.3687267053168357,0.008906161168307003,2.7639597871046506,2.7868126156971567,-0.022852828592506036
9,0.18,0,0.27,-0.0010531103416503303,-0.01120499841217322,0.046983504185079114,-0.005249032801699085,-0.03272553149206887,0.015024975728929982,0.8608676965541856,23.094177944639192,0.9999379441068442,2,0,2,0.0024341967750123993,0.013064650001368042,2.6423662809655513,2.641718497784621,0.0006477831809301726,0.49922637262424147,0.4993199046784827,-9.35320542412299e-05,0.49922637262424147,0.5069026269245189,-0.007676254300277463,2.6423662809655513,2.6340240164977007,0.00834226446785058,3.511773296199956e-19,-0.0066611969407739885,0.0066611969407739885,3.141592653589793,3.1439269285138973,-0.002334274924104207,0.3974608205183428,0.4161337024535103,-0.018672881935167474,2.7441318330714504,2.7265646337692737,0.01756719930217665
