sweep,vx_cmd,yaw_cmd,episode,mean_vx,mean_yaw_rate,vx_mae,yaw_mae,minimum_upright,fall,displacement,lateral_drift,path_efficiency
forward,0.0,0.0,1,6.935210813556987e-05,-0.002623784874614404,0.00032871208690624256,0.01373600388331994,0.9998796058322987,False,0.002545524067570701,0.0017336700510707404,0.1797089136309517
forward,0.0,0.0,2,6.935210813556987e-05,-0.002623784874614404,0.00032871208690624256,0.01373600388331994,0.9998796058322987,False,0.002545524067570701,0.0017336700510707404,0.1797089136309517
forward,0.0,0.0,3,6.935210813556987e-05,-0.002623784874614404,0.00032871208690624256,0.01373600388331994,0.9998796058322987,False,0.002545524067570701,0.0017336700510707404,0.1797089136309517
forward,0.0,0.0,4,6.935210813556987e-05,-0.002623784874614404,0.00032871208690624256,0.01373600388331994,0.9998796058322987,False,0.002545524067570701,0.0017336700510707404,0.1797089136309517
forward,0.0,0.0,5,6.935210813556987e-05,-0.002623784874614404,0.00032871208690624256,0.01373600388331994,0.9998796058322987,False,0.002545524067570701,0.0017336700510707404,0.1797089136309517
forward,0.05,0.0,1,0.0005514565277988764,-0.015136767343046614,0.049993674419353595,0.018886837637196716,0.9995195154946375,False,0.00878854006957305,0.004193612932062185,0.42172729038562085
forward,0.05,0.0,2,0.0005514565277988764,-0.015136767343046614,0.049993674419353595,0.018886837637196716,0.9995195154946375,False,0.00878854006957305,0.004193612932062185,0.42172729038562085
forward,0.05,0.0,3,0.0005514565277988764,-0.015136767343046614,0.049993674419353595,0.018886837637196716,0.9995195154946375,False,0.00878854006957305,0.004193612932062185,0.42172729038562085
forward,0.05,0.0,4,0.0005514565277988764,-0.015136767343046614,0.049993674419353595,0.018886837637196716,0.9995195154946375,False,0.00878854006957305,0.004193612932062185,0.42172729038562085
forward,0.05,0.0,5,0.0005514565277988764,-0.015136767343046614,0.049993674419353595,0.018886837637196716,0.9995195154946375,False,0.00878854006957305,0.004193612932062185,0.42172729038562085
forward,0.1,0.0,1,0.0016698004217093544,0.008057229416549117,0.09895417945988207,0.03897136650872085,0.9988117013706571,False,0.03581979162459606,0.03088517551542291,0.6529348139439709
forward,0.1,0.0,2,0.0016698004217093544,0.008057229416549117,0.09895417945988207,0.03897136650872085,0.9988117013706571,False,0.03581979162459606,0.03088517551542291,0.6529348139439709
forward,0.1,0.0,3,0.0016698004217093544,0.008057229416549117,0.09895417945988207,0.03897136650872085,0.9988117013706571,False,0.03581979162459606,0.03088517551542291,0.6529348139439709
forward,0.1,0.0,4,0.0016698004217093544,0.008057229416549117,0.09895417945988207,0.03897136650872085,0.9988117013706571,False,0.03581979162459606,0.03088517551542291,0.6529348139439709
forward,0.1,0.0,5,0.0016698004217093544,0.008057229416549117,0.09895417945988207,0.03897136650872085,0.9988117013706571,False,0.03581979162459606,0.03088517551542291,0.6529348139439709
forward,0.15,0.0,1,0.04554386083750731,0.08910372048378923,0.12766189448408838,2.719005930109472,0.9938407474280788,False,0.5723136701607422,0.18526910799684068,0.1996622515934861
forward,0.15,0.0,2,0.04554386083750731,0.08910372048378923,0.12766189448408838,2.719005930109472,0.9938407474280788,False,0.5723136701607422,0.18526910799684068,0.1996622515934861
forward,0.15,0.0,3,0.04554386083750731,0.08910372048378923,0.12766189448408838,2.719005930109472,0.9938407474280788,False,0.5723136701607422,0.18526910799684068,0.1996622515934861
forward,0.15,0.0,4,0.04554386083750731,0.08910372048378923,0.12766189448408838,2.719005930109472,0.9938407474280788,False,0.5723136701607422,0.18526910799684068,0.1996622515934861
forward,0.15,0.0,5,0.04554386083750731,0.08910372048378923,0.12766189448408838,2.719005930109472,0.9938407474280788,False,0.5723136701607422,0.18526910799684068,0.1996622515934861
forward,0.2,0.0,1,0.028170793300348714,0.16726088779561055,0.1835176139272813,2.880820271329071,0.992582055285635,False,0.620940126819687,0.24980030322609326,0.23187396462759627
forward,0.2,0.0,2,0.028170793300348714,0.16726088779561055,0.1835176139272813,2.880820271329071,0.992582055285635,False,0.620940126819687,0.24980030322609326,0.23187396462759627
forward,0.2,0.0,3,0.028170793300348714,0.16726088779561055,0.1835176139272813,2.880820271329071,0.992582055285635,False,0.620940126819687,0.24980030322609326,0.23187396462759627
forward,0.2,0.0,4,0.028170793300348714,0.16726088779561055,0.1835176139272813,2.880820271329071,0.992582055285635,False,0.620940126819687,0.24980030322609326,0.23187396462759627
forward,0.2,0.0,5,0.028170793300348714,0.16726088779561055,0.1835176139272813,2.880820271329071,0.992582055285635,False,0.620940126819687,0.24980030322609326,0.23187396462759627
yaw,0.1,-1.0,1,0.02542062621598286,-0.20914724132366988,0.07733647300581273,1.0240671998439956,0.999706633274098,False,0.03507616140897663,0.00535252828475641,0.03086372955541313
yaw,0.1,-1.0,2,0.02542062621598286,-0.20914724132366988,0.07733647300581273,1.0240671998439956,0.999706633274098,False,0.03507616140897663,0.00535252828475641,0.03086372955541313
yaw,0.1,-1.0,3,0.02542062621598286,-0.20914724132366988,0.07733647300581273,1.0240671998439956,0.999706633274098,False,0.03507616140897663,0.00535252828475641,0.03086372955541313
yaw,0.1,-1.0,4,0.02542062621598286,-0.20914724132366988,0.07733647300581273,1.0240671998439956,0.999706633274098,False,0.03507616140897663,0.00535252828475641,0.03086372955541313
yaw,0.1,-1.0,5,0.02542062621598286,-0.20914724132366988,0.07733647300581273,1.0240671998439956,0.999706633274098,False,0.03507616140897663,0.00535252828475641,0.03086372955541313
yaw,0.1,-0.75,1,0.0004505458861399163,-0.007186116417631498,0.09980632663163624,0.7702848903028293,0.9989199669359622,False,0.031843121362469334,0.03116148769910906,0.7540831892411327
yaw,0.1,-0.75,2,0.0004505458861399163,-0.007186116417631498,0.09980632663163624,0.7702848903028293,0.9989199669359622,False,0.031843121362469334,0.03116148769910906,0.7540831892411327
yaw,0.1,-0.75,3,0.0004505458861399163,-0.007186116417631498,0.09980632663163624,0.7702848903028293,0.9989199669359622,False,0.031843121362469334,0.03116148769910906,0.7540831892411327
yaw,0.1,-0.75,4,0.0004505458861399163,-0.007186116417631498,0.09980632663163624,0.7702848903028293,0.9989199669359622,False,0.031843121362469334,0.03116148769910906,0.7540831892411327
yaw,0.1,-0.75,5,0.0004505458861399163,-0.007186116417631498,0.09980632663163624,0.7702848903028293,0.9989199669359622,False,0.031843121362469334,0.03116148769910906,0.7540831892411327
yaw,0.1,-0.5,1,0.000857865741128246,-0.001845469369770178,0.09953459344713068,0.518673455934994,0.9998253872364048,False,0.014545398702589814,0.0004997850030768435,0.4984535246285713
yaw,0.1,-0.5,2,0.000857865741128246,-0.001845469369770178,0.09953459344713068,0.518673455934994,0.9998253872364048,False,0.014545398702589814,0.0004997850030768435,0.4984535246285713
yaw,0.1,-0.5,3,0.000857865741128246,-0.001845469369770178,0.09953459344713068,0.518673455934994,0.9998253872364048,False,0.014545398702589814,0.0004997850030768435,0.4984535246285713
yaw,0.1,-0.5,4,0.000857865741128246,-0.001845469369770178,0.09953459344713068,0.518673455934994,0.9998253872364048,False,0.014545398702589814,0.0004997850030768435,0.4984535246285713
yaw,0.1,-0.5,5,0.000857865741128246,-0.001845469369770178,0.09953459344713068,0.518673455934994,0.9998253872364048,False,0.014545398702589814,0.0004997850030768435,0.4984535246285713
yaw,0.1,-0.25,1,0.0021715939582430004,0.014712366632107517,0.0984905970923937,0.29854982362694543,0.9995731045423604,False,0.04254566892816209,0.015161522101325807,0.44393959789140536
yaw,0.1,-0.25,2,0.0021715939582430004,0.014712366632107517,0.0984905970923937,0.29854982362694543,0.9995731045423604,False,0.04254566892816209,0.015161522101325807,0.44393959789140536
yaw,0.1,-0.25,3,0.0021715939582430004,0.014712366632107517,0.0984905970923937,0.29854982362694543,0.9995731045423604,False,0.04254566892816209,0.015161522101325807,0.44393959789140536
yaw,0.1,-0.25,4,0.0021715939582430004,0.014712366632107517,0.0984905970923937,0.29854982362694543,0.9995731045423604,False,0.04254566892816209,0.015161522101325807,0.44393959789140536
yaw,0.1,-0.25,5,0.0021715939582430004,0.014712366632107517,0.0984905970923937,0.29854982362694543,0.9995731045423604,False,0.04254566892816209,0.015161522101325807,0.44393959789140536
