cycle,start_time,end_time,delta_forward,delta_lateral,delta_yaw_deg,R1-R4_duty,R1-R4_mean_force,R1-R4_force_when_contact,R2-R3_duty,R2-R3_mean_force,R2-R3_force_when_contact,L1-L3_duty,L1-L3_mean_force,L1-L3_force_when_contact,L2-L4_duty,L2-L4_mean_force,L2-L4_force_when_contact
0,0.0,0.66,-0.0027143546674966773,0.0045386353076183215,-4.51240353440276,0.4411764705882353,0.8321797874572587,1.88627418490312,0.5,1.0272432692267852,2.0544865384535704,0.29411764705882354,0.544056562788124,1.8497923134796217,0.29411764705882354,0.622238049957168,2.115609369854371
1,0.68,1.32,0.005214803852489251,0.0029162669249725675,5.052435379764611,0.3939393939393939,1.0184479311441315,2.5852909021351027,0.45454545454545453,1.0292198666024621,2.264283706525416,0.2727272727272727,0.8016620687608743,2.9394275854565395,0.36363636363636365,1.0935676746660692,3.007311105331691
2,1.34,1.98,-0.014743909655369173,0.009416232756438547,16.273421038488124,0.48484848484848486,1.0277639600830752,2.119763167671343,0.36363636363636365,0.8435531832993319,2.3197712540731628,0.30303030303030304,0.7270359493818013,2.3992186329599443,0.30303030303030304,0.7098014071365424,2.34234464355059
3,2.0,2.66,-0.03272634842825183,0.03894243211318812,10.59980105246388,0.29411764705882354,0.7009648539237229,2.383280503340658,0.2647058823529412,0.5388167401091862,2.035529907079148,0.23529411764705882,0.7314303801930495,3.108579115820461,0.4117647058823529,1.0428723638517305,2.53269002649706
4,2.68,3.3200000000000003,0.00016681593676367686,0.0005233307065473865,-3.9216865957071745,0.45454545454545453,1.0444084856218157,2.2976986683679943,0.3939393939393939,1.0531770124416349,2.6734493392749195,0.30303030303030304,1.0182689763762744,3.3602876220417057,0.30303030303030304,0.9543661016146412,3.149408135328316
5,3.34,3.98,0.018740175489994612,0.04903161667615809,-11.628086958752961,0.45454545454545453,0.8734835330914769,1.9216637728012493,0.30303030303030304,0.6494326663613467,2.143127798992444,0.3333333333333333,0.7337631315594904,2.2012893946784713,0.3333333333333333,0.78144379532134,2.3443313859640202
6,4.0,4.66,-0.01437608210277709,0.008392002446477018,-33.12558803988747,0.4411764705882353,1.0667099802843654,2.4178759553112283,0.38235294117647056,0.8632720064750344,2.257788324627013,0.3235294117647059,0.9904988333738293,3.061541848610018,0.29411764705882354,0.7105931853425018,2.4160168301645064
7,4.68,5.32,-0.03699179220626316,0.01375971653890551,23.533184390728483,0.45454545454545453,0.988393621700246,2.174465967740541,0.3333333333333333,0.8447110938172049,2.5341332814516146,0.2727272727272727,0.7417225965547617,2.719649520700793,0.24242424242424243,0.6885572064091674,2.840298476437816
8,5.34,5.98,-0.011192659983204314,0.02272899101916713,2.606446137504402,0.3939393939393939,0.9595065185514977,2.43567039324611,0.36363636363636365,1.150950448240017,3.1651137326600467,0.45454545454545453,1.2423924221514737,2.7332633287332424,0.36363636363636365,0.9468595605259266,2.6038637914462983
9,6.0,6.66,-0.0066923388887541145,0.009656521445656218,-4.238643704782902,0.3235294117647059,0.6380211343381553,1.9720653243179347,0.35294117647058826,0.7761334597164092,2.199044802529826,0.29411764705882354,0.9312674008672124,3.1663091629485214,0.20588235294117646,0.5053123640895635,2.454374339863594
10,6.68,7.32,0.007217368504887396,0.06197330402666703,12.237279864214635,0.36363636363636365,0.8982875477840495,2.4702907564061363,0.36363636363636365,0.6961402548349165,1.9143857007960203,0.21212121212121213,0.598796890440483,2.8228996263622768,0.2727272727272727,0.6301749953997611,2.3106416497991242
11,7.34,7.98,-0.007224518191559377,-0.004205707251178716,-9.161977440935376,0.30303030303030304,0.8454609705604756,2.79002120284957,0.30303030303030304,0.7864122299080443,2.595160358696546,0.24242424242424243,0.7286508385095174,3.0056847088517586,0.24242424242424243,0.6672619937302127,2.7524557241371275
12,8.0,8.66,0.022638145359006774,0.01974954786698872,-15.542642195394542,0.38235294117647056,1.0132037558774354,2.649917515371754,0.38235294117647056,1.0843661106670641,2.836034443283091,0.29411764705882354,0.7733611043708626,2.629427754860932,0.23529411764705882,0.6015162749641372,2.556444168597583
