step,time,cycle,phase,leg,event,forward_velocity,lateral_velocity,yaw_rate_deg_s
25,0.5,0,0.75,L2-L4,touchdown,0.047659940776138256,-0.006614921511521693,-106.61012264530102
26,0.52,0,0.78,R2-R3,liftoff,0.041316562189147844,0.05848794564777281,6.9823353914385144
26,0.52,0,0.78,L1-L3,liftoff,0.041316562189147844,0.05848794564777281,6.9823353914385144
26,0.52,0,0.78,L2-L4,liftoff,0.041316562189147844,0.05848794564777281,6.9823353914385144
27,0.54,0,0.81,R1-R4,liftoff,-0.006151666769437645,0.06624328483011158,4.80948822856566
27,0.54,0,0.81,R2-R3,touchdown,-0.006151666769437645,0.06624328483011158,4.80948822856566
27,0.54,0,0.81,L1-L3,touchdown,-0.006151666769437645,0.06624328483011158,4.80948822856566
27,0.54,0,0.81,L2-L4,touchdown,-0.006151666769437645,0.06624328483011158,4.80948822856566
29,0.58,0,0.87,R2-R3,liftoff,-0.010152062082397278,-0.01868542377397232,6.61408955543121
29,0.58,0,0.87,L1-L3,liftoff,-0.010152062082397278,-0.01868542377397232,6.61408955543121
29,0.58,0,0.87,L2-L4,liftoff,-0.010152062082397278,-0.01868542377397232,6.61408955543121
30,0.6,0,0.9,R1-R4,touchdown,-0.03394742818343052,0.050384903347364444,2.22644282913989
31,0.62,0,0.93,R1-R4,liftoff,-0.030184283251271163,0.10320505508105152,-51.36296199391282
35,0.7000000000000001,1,0.050000000000000155,R2-R3,touchdown,-1.9756196478827245e-05,0.07151569009031178,78.95519871723334
35,0.7000000000000001,1,0.050000000000000155,L2-L4,touchdown,-1.9756196478827245e-05,0.07151569009031178,78.95519871723334
36,0.72,1,0.08000000000000002,L2-L4,liftoff,0.08582169448536603,0.043893612764471054,25.978834944007087
37,0.74,1,0.11000000000000004,R2-R3,liftoff,0.04896828723017373,0.07253394202047446,-126.9089304378004
37,0.74,1,0.11000000000000004,L2-L4,touchdown,0.04896828723017373,0.07253394202047446,-126.9089304378004
38,0.76,1,0.14000000000000007,R1-R4,touchdown,0.10210136220221926,0.06718558414759605,-184.3975328185874
38,0.76,1,0.14000000000000007,L2-L4,liftoff,0.10210136220221926,0.06718558414759605,-184.3975328185874
39,0.78,1,0.1700000000000001,R1-R4,liftoff,0.08487809354834401,0.02240579762102748,-266.6714954712817
39,0.78,1,0.1700000000000001,R2-R3,touchdown,0.08487809354834401,0.02240579762102748,-266.6714954712817
39,0.78,1,0.1700000000000001,L1-L3,touchdown,0.08487809354834401,0.02240579762102748,-266.6714954712817
39,0.78,1,0.1700000000000001,L2-L4,touchdown,0.08487809354834401,0.02240579762102748,-266.6714954712817
40,0.8,1,0.20000000000000012,R2-R3,liftoff,0.07843687165780505,-0.09220951930093267,3.8359209039654223
40,0.8,1,0.20000000000000012,L1-L3,liftoff,0.07843687165780505,-0.09220951930093267,3.8359209039654223
40,0.8,1,0.20000000000000012,L2-L4,liftoff,0.07843687165780505,-0.09220951930093267,3.8359209039654223
41,0.8200000000000001,1,0.23000000000000015,R2-R3,touchdown,0.07609483076393637,-0.12473895502284521,-61.90455873939179
42,0.84,1,0.26,R2-R3,liftoff,0.057470830089907776,-0.14206422866014914,7.562974595558894
42,0.84,1,0.26,L1-L3,touchdown,0.057470830089907776,-0.14206422866014914,7.562974595558894
42,0.84,1,0.26,L2-L4,touchdown,0.057470830089907776,-0.14206422866014914,7.562974595558894
43,0.86,1,0.29000000000000004,R1-R4,touchdown,0.05013904777666395,-0.213743570513016,38.97940893940638
43,0.86,1,0.29000000000000004,R2-R3,touchdown,0.05013904777666395,-0.213743570513016,38.97940893940638
43,0.86,1,0.29000000000000004,L1-L3,liftoff,0.05013904777666395,-0.213743570513016,38.97940893940638
43,0.86,1,0.29000000000000004,L2-L4,liftoff,0.05013904777666395,-0.213743570513016,38.97940893940638
47,0.9400000000000001,1,0.41000000000000014,R2-R3,liftoff,-0.005353481167782441,0.08272583519296375,-19.457211352743318
48,0.96,1,0.44,R1-R4,liftoff,-0.0032511138557375814,0.07326022197757928,-36.25787649091198
48,0.96,1,0.44,L1-L3,touchdown,-0.0032511138557375814,0.07326022197757928,-36.25787649091198
48,0.96,1,0.44,L2-L4,touchdown,-0.0032511138557375814,0.07326022197757928,-36.25787649091198
49,0.98,1,0.47000000000000003,L1-L3,liftoff,0.013570610594428338,-0.024266444320161173,50.64871955660663
49,0.98,1,0.47000000000000003,L2-L4,liftoff,0.013570610594428338,-0.024266444320161173,50.64871955660663
50,1.0,1,0.5000000000000001,R2-R3,touchdown,0.011083807147045628,-0.08347106381600976,115.76219385492632
51,1.02,1,0.5300000000000001,R1-R4,touchdown,0.013966123549634574,-0.09333847675194441,216.59101021104794
51,1.02,1,0.5300000000000001,L1-L3,touchdown,0.013966123549634574,-0.09333847675194441,216.59101021104794
51,1.02,1,0.5300000000000001,L2-L4,touchdown,0.013966123549634574,-0.09333847675194441,216.59101021104794
52,1.04,1,0.5600000000000002,R1-R4,liftoff,-0.06018776290753905,0.05620874957253098,17.85623731769657
52,1.04,1,0.5600000000000002,R2-R3,liftoff,-0.06018776290753905,0.05620874957253098,17.85623731769657
52,1.04,1,0.5600000000000002,L1-L3,liftoff,-0.06018776290753905,0.05620874957253098,17.85623731769657
52,1.04,1,0.5600000000000002,L2-L4,liftoff,-0.06018776290753905,0.05620874957253098,17.85623731769657
53,1.06,1,0.5900000000000002,R1-R4,touchdown,-0.052073273638463514,0.07407742240564397,11.559030023417852
54,1.08,1,0.6200000000000002,R1-R4,liftoff,-0.0848919272483478,0.13816888273667938,109.27266400122885
54,1.08,1,0.6200000000000002,R2-R3,touchdown,-0.0848919272483478,0.13816888273667938,109.27266400122885
54,1.08,1,0.6200000000000002,L2-L4,touchdown,-0.0848919272483478,0.13816888273667938,109.27266400122885
55,1.1,1,0.6500000000000002,R2-R3,liftoff,0.05404403076838804,0.13350168238524937,161.18624007023666
55,1.1,1,0.6500000000000002,L1-L3,touchdown,0.05404403076838804,0.13350168238524937,161.18624007023666
55,1.1,1,0.6500000000000002,L2-L4,liftoff,0.05404403076838804,0.13350168238524937,161.18624007023666
56,1.12,1,0.6800000000000003,R1-R4,touchdown,0.06590070504611525,0.0732534986852729,121.53141349504419
56,1.12,1,0.6800000000000003,R2-R3,touchdown,0.06590070504611525,0.0732534986852729,121.53141349504419
56,1.12,1,0.6800000000000003,L1-L3,liftoff,0.06590070504611525,0.0732534986852729,121.53141349504419
57,1.1400000000000001,1,0.7100000000000003,R1-R4,liftoff,-0.013546995569692693,0.04441811992800456,-13.674963321308978
57,1.1400000000000001,1,0.7100000000000003,R2-R3,liftoff,-0.013546995569692693,0.04441811992800456,-13.674963321308978
57,1.1400000000000001,1,0.7100000000000003,L1-L3,touchdown,-0.013546995569692693,0.04441811992800456,-13.674963321308978
58,1.16,1,0.74,R1-R4,touchdown,0.010820033034207402,0.013353408341017623,-30.2233746012056
58,1.16,1,0.74,L2-L4,touchdown,0.010820033034207402,0.013353408341017623,-30.2233746012056
59,1.18,1,0.77,R1-R4,liftoff,-0.0441463335475089,0.012073961990981758,-91.279808208918
59,1.18,1,0.77,L1-L3,liftoff,-0.0441463335475089,0.012073961990981758,-91.279808208918
59,1.18,1,0.77,L2-L4,liftoff,-0.0441463335475089,0.012073961990981758,-91.279808208918
60,1.2,1,0.8,R2-R3,touchdown,-0.012011810680863103,0.001777895344446546,-70.3651416432788
60,1.2,1,0.8,L1-L3,touchdown,-0.012011810680863103,0.001777895344446546,-70.3651416432788
60,1.2,1,0.8,L2-L4,touchdown,-0.012011810680863103,0.001777895344446546,-70.3651416432788
61,1.22,1,0.8300000000000001,R1-R4,touchdown,0.058463537842399195,0.03422657449662628,21.176659570027304
61,1.22,1,0.8300000000000001,R2-R3,liftoff,0.058463537842399195,0.03422657449662628,21.176659570027304
61,1.22,1,0.8300000000000001,L2-L4,liftoff,0.058463537842399195,0.03422657449662628,21.176659570027304
62,1.24,1,0.8600000000000001,R2-R3,touchdown,-0.05373108778361756,-0.011813998022907987,26.835607912465797
62,1.24,1,0.8600000000000001,L1-L3,liftoff,-0.05373108778361756,-0.011813998022907987,26.835607912465797
62,1.24,1,0.8600000000000001,L2-L4,touchdown,-0.05373108778361756,-0.011813998022907987,26.835607912465797
63,1.26,1,0.8900000000000001,R1-R4,liftoff,0.013206100028084745,-0.0280559381960559,-13.864875082752718
63,1.26,1,0.8900000000000001,R2-R3,liftoff,0.013206100028084745,-0.0280559381960559,-13.864875082752718
63,1.26,1,0.8900000000000001,L2-L4,liftoff,0.013206100028084745,-0.0280559381960559,-13.864875082752718
64,1.28,1,0.9200000000000002,R1-R4,touchdown,-0.011694582055703902,0.01735289381398831,-8.456743329769637
64,1.28,1,0.9200000000000002,R2-R3,touchdown,-0.011694582055703902,0.01735289381398831,-8.456743329769637
64,1.28,1,0.9200000000000002,L2-L4,touchdown,-0.011694582055703902,0.01735289381398831,-8.456743329769637
65,1.3,1,0.9500000000000002,R1-R4,liftoff,-0.025272454904834166,0.06618597919058403,102.86534268044802
65,1.3,1,0.9500000000000002,R2-R3,liftoff,-0.025272454904834166,0.06618597919058403,102.86534268044802
65,1.3,1,0.9500000000000002,L2-L4,liftoff,-0.025272454904834166,0.06618597919058403,102.86534268044802
66,1.32,1,0.9800000000000002,L2-L4,touchdown,-0.06666708165718531,0.07078710048175489,56.96451095429342
67,1.34,2,0.010000000000000231,L2-L4,liftoff,0.03127346468198346,0.07540318770205366,3.1131445097012067
69,1.3800000000000001,2,0.07000000000000028,R1-R4,touchdown,0.1067212410693261,0.12894465019262433,115.53984532950504
69,1.3800000000000001,2,0.07000000000000028,L1-L3,touchdown,0.1067212410693261,0.12894465019262433,115.53984532950504
71,1.42,2,0.13,R1-R4,liftoff,-0.09818941967939988,-0.01957415712189128,110.90348639530032
71,1.42,2,0.13,L1-L3,liftoff,-0.09818941967939988,-0.01957415712189128,110.90348639530032
73,1.46,2,0.19000000000000006,R2-R3,touchdown,-0.17901375736091918,-0.04788092077640725,149.76905805469153
73,1.46,2,0.19000000000000006,L2-L4,touchdown,-0.17901375736091918,-0.04788092077640725,149.76905805469153
74,1.48,2,0.22000000000000008,R1-R4,touchdown,0.002971542995878016,-0.10442994318186047,18.841408421602008
74,1.48,2,0.22000000000000008,R2-R3,liftoff,0.002971542995878016,-0.10442994318186047,18.841408421602008
74,1.48,2,0.22000000000000008,L2-L4,liftoff,0.002971542995878016,-0.10442994318186047,18.841408421602008
75,1.5,2,0.2500000000000001,R1-R4,liftoff,0.04803882850693138,-0.1346938715321828,-40.152795352510765
76,1.52,2,0.28000000000000014,R1-R4,touchdown,0.054650596741673954,-0.11884245497256322,-60.979647459802
76,1.52,2,0.28000000000000014,R2-R3,touchdown,0.054650596741673954,-0.11884245497256322,-60.979647459802
76,1.52,2,0.28000000000000014,L1-L3,touchdown,0.054650596741673954,-0.11884245497256322,-60.979647459802
76,1.52,2,0.28000000000000014,L2-L4,touchdown,0.054650596741673954,-0.11884245497256322,-60.979647459802
77,1.54,2,0.31000000000000016,R2-R3,liftoff,0.05990799268348968,-0.004673032374772386,6.774307305346481
77,1.54,2,0.31000000000000016,L1-L3,liftoff,0.05990799268348968,-0.004673032374772386,6.774307305346481
77,1.54,2,0.31000000000000016,L2-L4,liftoff,0.05990799268348968,-0.004673032374772386,6.774307305346481
78,1.56,2,0.3400000000000002,R2-R3,touchdown,0.0026188914749485327,-0.0034823825407346914,11.611299486741299
79,1.58,2,0.3700000000000002,R1-R4,liftoff,-0.0570286943238434,0.006787279653447075,23.227412959643075
81,1.62,2,0.43000000000000027,R2-R3,liftoff,-0.029978318333631467,-0.056597044364580774,10.837058313772532
82,1.6400000000000001,2,0.4600000000000003,R1-R4,touchdown,-0.02309297883148683,-0.058498575381516156,-13.102054508872037
82,1.6400000000000001,2,0.4600000000000003,R2-R3,touchdown,-0.02309297883148683,-0.058498575381516156,-13.102054508872037
83,1.6600000000000001,2,0.4900000000000003,R1-R4,liftoff,-0.008092283117150594,-0.030716158309147045,-36.307569455674944
83,1.6600000000000001,2,0.4900000000000003,R2-R3,liftoff,-0.008092283117150594,-0.030716158309147045,-36.307569455674944
84,1.68,2,0.52,R1-R4,touchdown,-0.018526845809653768,0.03794592997988545,-75.36338775611135
84,1.68,2,0.52,L1-L3,touchdown,-0.018526845809653768,0.03794592997988545,-75.36338775611135
84,1.68,2,0.52,L2-L4,touchdown,-0.018526845809653768,0.03794592997988545,-75.36338775611135
85,1.7,2,0.55,R1-R4,liftoff,-0.0648022061007774,0.03273852786344626,19.965390017934233
85,1.7,2,0.55,L1-L3,liftoff,-0.0648022061007774,0.03273852786344626,19.965390017934233
85,1.7,2,0.55,L2-L4,liftoff,-0.0648022061007774,0.03273852786344626,19.965390017934233
86,1.72,2,0.5800000000000001,R1-R4,touchdown,-0.08985849779739233,0.000743883454158786,40.2560877923939
86,1.72,2,0.5800000000000001,L1-L3,touchdown,-0.08985849779739233,0.000743883454158786,40.2560877923939
86,1.72,2,0.5800000000000001,L2-L4,touchdown,-0.08985849779739233,0.000743883454158786,40.2560877923939
87,1.74,2,0.6100000000000001,R2-R3,touchdown,-0.1439627624330836,0.029230845834855572,-36.890508725082384
87,1.74,2,0.6100000000000001,L1-L3,liftoff,-0.1439627624330836,0.029230845834855572,-36.890508725082384
87,1.74,2,0.6100000000000001,L2-L4,liftoff,-0.1439627624330836,0.029230845834855572,-36.890508725082384
88,1.76,2,0.6400000000000001,R1-R4,liftoff,-0.10656726711523443,0.10212546716146129,-52.717588246128585
88,1.76,2,0.6400000000000001,R2-R3,liftoff,-0.10656726711523443,0.10212546716146129,-52.717588246128585
88,1.76,2,0.6400000000000001,L1-L3,touchdown,-0.10656726711523443,0.10212546716146129,-52.717588246128585
89,1.78,2,0.6700000000000002,R1-R4,touchdown,-0.13518919396147416,0.1267505921402287,-14.155177666845402
90,1.8,2,0.7000000000000002,R1-R4,liftoff,-0.10175768920159951,0.17737467803296064,10.427995191505236
90,1.8,2,0.7000000000000002,R2-R3,touchdown,-0.10175768920159951,0.17737467803296064,10.427995191505236
90,1.8,2,0.7000000000000002,L1-L3,liftoff,-0.10175768920159951,0.17737467803296064,10.427995191505236
90,1.8,2,0.7000000000000002,L2-L4,touchdown,-0.10175768920159951,0.17737467803296064,10.427995191505236
91,1.82,2,0.7300000000000002,R2-R3,liftoff,0.029860062026549197,0.1748771620491443,131.32892527953402
91,1.82,2,0.7300000000000002,L2-L4,liftoff,0.029860062026549197,0.1748771620491443,131.32892527953402
92,1.84,2,0.7600000000000002,R1-R4,touchdown,0.03170598616567564,0.12507767716579338,121.72569240038315
92,1.84,2,0.7600000000000002,L1-L3,touchdown,0.03170598616567564,0.12507767716579338,121.72569240038315
92,1.84,2,0.7600000000000002,L2-L4,touchdown,0.03170598616567564,0.12507767716579338,121.72569240038315
93,1.86,2,0.7900000000000003,R1-R4,liftoff,0.01637375866844512,0.08471203822962294,-49.572896629906786
93,1.86,2,0.7900000000000003,R2-R3,touchdown,0.01637375866844512,0.08471203822962294,-49.572896629906786
93,1.86,2,0.7900000000000003,L1-L3,liftoff,0.01637375866844512,0.08471203822962294,-49.572896629906786
94,1.8800000000000001,2,0.8200000000000003,R1-R4,touchdown,0.03252829828399209,0.013114731001470623,-17.69665667433525
94,1.8800000000000001,2,0.8200000000000003,R2-R3,liftoff,0.03252829828399209,0.013114731001470623,-17.69665667433525
94,1.8800000000000001,2,0.8200000000000003,L1-L3,touchdown,0.03252829828399209,0.013114731001470623,-17.69665667433525
95,1.9000000000000001,2,0.8500000000000003,R2-R3,touchdown,-0.014835973600302602,-0.04151395737068286,-15.437070150733653
95,1.9000000000000001,2,0.8500000000000003,L1-L3,liftoff,-0.014835973600302602,-0.04151395737068286,-15.437070150733653
96,1.92,2,0.88,L2-L4,liftoff,0.006703572297147708,0.002687436567208135,14.470687923562897
97,1.94,2,0.91,R1-R4,liftoff,-0.009994527703655052,0.04836210006201707,22.835702840736175
97,1.94,2,0.91,R2-R3,liftoff,-0.009994527703655052,0.04836210006201707,22.835702840736175
97,1.94,2,0.91,L1-L3,touchdown,-0.009994527703655052,0.04836210006201707,22.835702840736175
97,1.94,2,0.91,L2-L4,touchdown,-0.009994527703655052,0.04836210006201707,22.835702840736175
98,1.96,2,0.9400000000000001,L1-L3,liftoff,0.03354874034311449,-0.006632319146353388,68.52262180111971
98,1.96,2,0.9400000000000001,L2-L4,liftoff,0.03354874034311449,-0.006632319146353388,68.52262180111971
99,1.98,2,0.9700000000000001,R1-R4,touchdown,0.016705664730228654,0.07227972427160571,109.01888301335666
99,1.98,2,0.9700000000000001,R2-R3,touchdown,0.016705664730228654,0.07227972427160571,109.01888301335666
100,2.0,3,1.6653345369377348e-16,R1-R4,liftoff,-0.033128736639953305,0.24286296183263786,21.034418551873795
100,2.0,3,1.6653345369377348e-16,R2-R3,liftoff,-0.033128736639953305,0.24286296183263786,21.034418551873795
101,2.02,3,0.030000000000000193,R1-R4,touchdown,-0.08086601327524104,0.2525579233246639,97.83274917194835
101,2.02,3,0.030000000000000193,R2-R3,touchdown,-0.08086601327524104,0.2525579233246639,97.83274917194835
102,2.04,3,0.06000000000000022,R1-R4,liftoff,-0.11074614540375922,0.2922285430775846,70.84747672093307
102,2.04,3,0.06000000000000022,R2-R3,liftoff,-0.11074614540375922,0.2922285430775846,70.84747672093307
102,2.04,3,0.06000000000000022,L2-L4,touchdown,-0.11074614540375922,0.2922285430775846,70.84747672093307
104,2.08,3,0.12000000000000027,L1-L3,touchdown,-0.011486757727498076,0.15868950875205248,90.9884880987633
105,2.1,3,0.1500000000000003,L1-L3,liftoff,-0.06744218072698802,0.02762393865786077,-85.49329524863838
105,2.1,3,0.1500000000000003,L2-L4,liftoff,-0.06744218072698802,0.02762393865786077,-85.49329524863838
106,2.12,3,0.18000000000000033,R1-R4,touchdown,-0.07179014829192833,0.02316100574531673,-131.56359538979203
106,2.12,3,0.18000000000000033,R2-R3,touchdown,-0.07179014829192833,0.02316100574531673,-131.56359538979203
106,2.12,3,0.18000000000000033,L1-L3,touchdown,-0.07179014829192833,0.02316100574531673,-131.56359538979203
106,2.12,3,0.18000000000000033,L2-L4,touchdown,-0.07179014829192833,0.02316100574531673,-131.56359538979203
107,2.14,3,0.21000000000000035,R1-R4,liftoff,-0.012827429497570545,-0.013461347568178662,-16.23598164439102
107,2.14,3,0.21000000000000035,L1-L3,liftoff,-0.012827429497570545,-0.013461347568178662,-16.23598164439102
107,2.14,3,0.21000000000000035,L2-L4,liftoff,-0.012827429497570545,-0.013461347568178662,-16.23598164439102
108,2.16,3,0.24000000000000038,R2-R3,liftoff,0.0049594236895870135,-0.0785122004567246,-43.26238523843289
109,2.18,3,0.2700000000000004,R1-R4,touchdown,0.004006028352918658,-0.08313908804684178,-47.47363687454137
109,2.18,3,0.2700000000000004,R2-R3,touchdown,0.004006028352918658,-0.08313908804684178,-47.47363687454137
110,2.2,3,0.30000000000000043,R2-R3,liftoff,-0.003962762476286049,0.0004023952109643886,19.504423287119018
110,2.2,3,0.30000000000000043,L1-L3,touchdown,-0.003962762476286049,0.0004023952109643886,19.504423287119018
110,2.2,3,0.30000000000000043,L2-L4,touchdown,-0.003962762476286049,0.0004023952109643886,19.504423287119018
111,2.22,3,0.33000000000000046,R1-R4,liftoff,-0.013114719563009991,-0.07069446935069493,12.63554848204074
111,2.22,3,0.33000000000000046,L1-L3,liftoff,-0.013114719563009991,-0.07069446935069493,12.63554848204074
111,2.22,3,0.33000000000000046,L2-L4,liftoff,-0.013114719563009991,-0.07069446935069493,12.63554848204074
112,2.24,3,0.3600000000000005,R1-R4,touchdown,-0.0060511766281605775,-0.09167639602843108,6.286735220456859
112,2.24,3,0.3600000000000005,R2-R3,touchdown,-0.0060511766281605775,-0.09167639602843108,6.286735220456859
113,2.2600000000000002,3,0.3900000000000005,R1-R4,liftoff,-9.901121327332216e-05,-0.04116081607345137,-1.4773904814294059
114,2.2800000000000002,3,0.42000000000000054,R1-R4,touchdown,-0.007620992652557239,-0.003040963265742962,34.89070879177254
114,2.2800000000000002,3,0.42000000000000054,L1-L3,touchdown,-0.007620992652557239,-0.003040963265742962,34.89070879177254
114,2.2800000000000002,3,0.42000000000000054,L2-L4,touchdown,-0.007620992652557239,-0.003040963265742962,34.89070879177254
115,2.3000000000000003,3,0.45000000000000057,R1-R4,liftoff,-0.01543369549816964,-0.07322600259185738,97.780109285343
115,2.3000000000000003,3,0.45000000000000057,R2-R3,liftoff,-0.01543369549816964,-0.07322600259185738,97.780109285343
115,2.3000000000000003,3,0.45000000000000057,L1-L3,liftoff,-0.01543369549816964,-0.07322600259185738,97.780109285343
115,2.3000000000000003,3,0.45000000000000057,L2-L4,liftoff,-0.01543369549816964,-0.07322600259185738,97.780109285343
116,2.32,3,0.4799999999999999,L2-L4,touchdown,-0.012225433321459082,-0.10035191144175248,140.91720599231627
117,2.34,3,0.51,L2-L4,liftoff,-0.03233777723688815,-0.06408964745491369,137.47790418936154
119,2.38,3,0.5700000000000001,L1-L3,touchdown,-0.016110595486889003,0.035135523713960934,-20.235321052066084
119,2.38,3,0.5700000000000001,L2-L4,touchdown,-0.016110595486889003,0.035135523713960934,-20.235321052066084
121,2.42,3,0.6300000000000001,L1-L3,liftoff,-0.0769400152261778,0.02364963531088532,-15.791420929927794
