step,time,cycle,phase,world_x,world_y,world_z,world_vx,world_vy,body_forward_velocity,body_lateral_velocity,yaw,yaw_deg,yaw_rate_deg_s,upright,unassigned_ground_contacts,R1-R4_contact,R1-R4_contact_count,R1-R4_normal_force,R2-R3_contact,R2-R3_contact_count,R2-R3_normal_force,L1-L3_contact,L1-L3_contact_count,L1-L3_normal_force,L2-L4_contact,L2-L4_contact_count,L2-L4_normal_force
0,0.0,0,0.0,2.0340968902269718e-07,-1.5636045970637887e-05,0.046680605422348795,-8.532399917215878e-12,2.8686630453483896e-10,-8.532400471468325e-12,2.8686630451835356e-10,-1.932093238149525e-09,-1.1070078817173244e-07,5.218447113307071e-10,0.9999999482602687,0,1,1,1.017411042267573,1,1,1.014644280403964,1,1,0.8686937894893045,1,1,0.8662908877906569
1,0.02,0,0.030000000000000002,-2.091766401957255e-08,-0.0006337319299189828,0.047301345518561425,-1.1216367652113486e-05,-0.030904794197417245,-1.1173129979790495e-05,-0.030904794213079373,-1.3990603540612102e-06,-8.0160253571786e-05,-0.0040024776391807135,0.9999741900070224,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2,0.04,0,0.060000000000000005,1.3097176347868904e-06,-0.0017352881838394608,0.047135018906270885,6.653176494032315e-05,-0.0550778126960239,6.800943443786167e-05,-0.055077810891237006,-2.68287618794029e-05,-0.0015371748252512567,-0.07285072858397353,0.9999151180609596,0,1,1,2.0659198309223195,1,1,2.0543224144215975,0,0,0.0,0,0,0.0
3,0.06,0,0.09,4.209731861829518e-06,-0.0028283411211152435,0.04730270387948098,0.0001450007113521314,-0.05465264686378914,0.0001445477967545655,-0.054652648063554854,8.287148355701524e-06,0.0004748186249804772,0.10059967251158669,0.9999960949964414,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
4,0.08,0,0.12000000000000001,-0.00033207127010491296,-0.0040267754743581,0.04700306820268891,-0.016814050098337124,-0.05992171766214284,-0.017213281079418323,-0.05980825597500642,0.006668831360413399,0.38209589123617493,19.08105363055972,0.9999029911730495,0,1,1,2.7215852220228784,1,1,3.3400936712009557,0,0,0.0,0,0,0.0
5,0.1,0,0.15000000000000002,-0.0006202797476564807,-0.004068200971658761,0.04705030002872064,-0.014410423877578389,-0.002071274865033052,-0.014419184570888505,-0.002009381051132397,0.004293760625973796,0.24601436210774896,-6.804076456421298,0.9999911133446767,0,0,0,0.0,1,1,1.2291198652807949,0,0,0.0,0,0,0.0
6,0.12,0,0.18,-0.0007278001724757426,-0.004570614468046418,0.045786451856304686,-0.005376021240963092,-0.025120674819382842,-0.0053832195497625825,-0.025119133246263005,0.00028655797175125737,0.016418562367176114,-11.479789987028642,0.9995196059658801,0,1,1,1.0034829669772098,1,1,1.441535599034968,1,1,3.957596832035291,1,1,3.96373415848715
7,0.14,0,0.21000000000000002,-0.0008414657437798599,-0.007633846967199182,0.04703817207285518,-0.005683278565205864,-0.15316162495763821,-0.005979151420745697,-0.15315035998391172,0.001931839288493743,0.11068623792824733,4.713383778053561,0.999720700153644,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
8,0.16,0,0.24000000000000002,-0.0009579751714070536,-0.010548984386332717,0.045762057033207064,-0.0058254713813596865,-0.14575687095667672,-0.006840312567967232,-0.14571277113509598,0.006963586865421771,0.39898413766140184,14.414894986657725,0.9998952734659314,0,1,1,4.3033980780613605,1,1,3.463493708828892,0,0,0.0,1,1,2.9125804064401373
9,0.18,0,0.27,-0.0010531103416503303,-0.01120499841217322,0.046983504185079114,-0.0047567585121638355,-0.03280070129202516,-0.005249032801699085,-0.03272553149206887,0.015024975728929982,0.8608676965541856,23.094177944639192,0.9999379441068442,0,1,1,0.6541752586010213,1,1,1.1941501994834192,0,0,0.0,0,0,0.0
