episode,timestep,episode_reward,episode_length,elapsed_seconds
105,105000,2088.229532,1000,953.336189
106,106000,1647.498582,1000,963.085124
107,107000,2407.237005,1000,972.945973
108,108000,2248.34565,1000,982.75996
109,109000,1974.799521,1000,992.763431
110,110000,1863.904049,1000,1002.577056
111,111000,2295.864397,1000,1018.244682
112,112000,2405.03216,1000,1028.092049
113,113000,1608.766687,1000,1038.302821
114,114000,1680.151518,1000,1048.011765
115,115000,2360.908785,1000,1057.667619
116,116000,1687.947215,1000,1067.193768
117,117000,1696.322773,1000,1076.966488
118,118000,2400.029001,1000,1086.783932
119,119000,2041.386551,1000,1096.453692
120,120000,2123.212015,1000,1106.132013
121,121000,1735.117162,1000,1121.535807
122,122000,1676.567027,1000,1131.348661
123,123000,1756.703575,1000,1141.220407
124,124000,1658.89008,1000,1151.073696
125,125000,2205.302083,1000,1160.801321
126,126000,1676.970873,1000,1170.57087
127,127000,2403.568574,1000,1180.028241
128,128000,2347.988833,1000,1189.693555
129,129000,2403.576903,1000,1199.576086
130,130000,2257.540429,1000,1208.964226
131,131000,1772.57814,1000,1224.801098
132,132000,1667.006488,1000,1234.966151
133,133000,2364.927504,1000,1244.773535
134,134000,1863.794978,1000,1254.616613
135,135000,1873.581771,1000,1264.665422
136,136000,1962.816949,1000,1274.391201
137,137000,2288.269925,1000,1284.521811
138,138000,2375.343837,1000,1294.546725
139,139000,2029.286188,1000,1304.23555
140,140000,2101.553585,1000,1314.003119
141,141000,2237.897374,1000,1330.254265
142,142000,2280.319832,1000,1340.078712
143,143000,2050.524589,1000,1349.980224
144,144000,1757.792734,1000,1360.300318
145,145000,1984.231645,1000,1370.108079
146,146000,1739.038981,1000,1380.187226
147,147000,2363.141819,1000,1390.691012
148,148000,1746.367495,1000,1400.616615
149,149000,1682.452052,1000,1410.446048
150,150000,1706.325267,1000,1420.284962
151,151000,2019.992021,1000,1436.791223
152,152000,1473.344117,1000,1446.615143
153,153000,1476.086601,1000,1456.797584
154,154000,2253.262924,1000,1466.866692
155,155000,1710.073058,1000,1477.016017
156,156000,2358.719207,1000,1487.04198
157,157000,2361.881214,1000,1497.357303
158,158000,2228.059201,1000,1507.198823
159,159000,2278.66214,1000,1517.392717
160,160000,2348.992135,1000,1527.354822
161,161000,1658.192413,1000,1543.513979
162,162000,2330.692211,1000,1553.529042
163,163000,1490.244468,1000,1563.738005
164,164000,2343.709527,1000,1573.732135
165,165000,2382.390969,1000,1584.046787
166,166000,1528.777098,1000,1594.115742
167,167000,2319.002908,1000,1604.22482
168,168000,2231.531509,1000,1614.057206
169,169000,1726.909657,1000,1624.299606
170,170000,2314.965694,1000,1634.393122
171,171000,2250.381438,1000,1651.546388
172,172000,1648.238744,1000,1663.560392
173,173000,1738.427529,1000,1675.082124
174,174000,2381.679297,1000,1685.828316
175,175000,2224.402434,1000,1696.961622
176,176000,1733.160561,1000,1707.162494
177,177000,2374.569826,1000,1720.389712
178,178000,2104.991841,1000,1731.185657
179,179000,2372.41117,1000,1739.995076
180,180000,2380.327499,1000,1749.060513
181,181000,2224.584435,1000,1762.821967
182,182000,1738.989525,1000,1770.715497
183,183000,2292.461324,1000,1778.515998
184,184000,2393.986027,1000,1786.40559
185,185000,2298.026667,1000,1794.169383
186,186000,1765.64522,1000,1801.968818
187,187000,2154.070947,1000,1809.892184
188,188000,2050.933015,1000,1817.845288
189,189000,1902.988603,1000,1825.617435
190,190000,1737.997085,1000,1833.344645
191,191000,1757.076932,1000,1846.516291
192,192000,1889.977754,1000,1854.31478
193,193000,2364.748038,1000,1862.223547
194,194000,2366.995553,1000,1869.942729
195,195000,2322.492755,1000,1877.819391
196,196000,2337.236746,1000,1885.593721
197,197000,2073.949978,1000,1893.314895
198,198000,2363.056192,1000,1901.164413
199,199000,1690.144146,1000,1909.101993
200,200000,1741.958069,1000,1916.891378
201,201000,1645.211851,1000,1929.896719
202,202000,1854.038601,1000,1937.812704
203,203000,1646.700841,1000,1945.616881
204,204000,1696.43391,1000,1953.455217
205,205000,2397.95999,1000,1961.340269
206,206000,1985.00693,1000,1969.315965
207,207000,2061.137184,1000,1977.28597
208,208000,2247.470743,1000,1985.225802
209,209000,2392.586467,1000,1993.17197
210,210000,2241.605796,1000,2001.0246
211,211000,1897.274268,1000,2014.244422
212,212000,1750.930722,1000,2022.230732
213,213000,1564.318395,1000,2030.184306
214,214000,2373.233956,1000,2038.139242
215,215000,1898.824442,1000,2047.582354
216,216000,1944.725237,1000,2055.303534
217,217000,1867.113138,1000,2063.119388
218,218000,1611.350439,1000,2070.930715
219,219000,1708.637483,1000,2078.769035
220,220000,1343.603592,1000,2086.627559
221,221000,2135.689129,1000,2099.858678
222,222000,2403.550008,1000,2107.612653
223,223000,2015.726273,1000,2115.442061
224,224000,2367.768409,1000,2123.189409
225,225000,1769.991052,1000,2131.05917
226,226000,1947.447687,1000,2138.815794
227,227000,1779.610547,1000,2146.630143
228,228000,1737.565551,1000,2154.465303
229,229000,2051.566972,1000,2162.188083
230,230000,1631.093791,1000,2170.081217
231,231000,1592.178626,1000,2183.148029
232,232000,2262.947859,1000,2190.835548
233,233000,1887.991297,1000,2198.68087
234,234000,1573.772985,1000,2206.451836
235,235000,2390.188271,1000,2214.127157
236,236000,1696.688844,1000,2221.891099
237,237000,2407.728438,1000,2229.565439
238,238000,2310.944147,1000,2237.340671
239,239000,1806.687714,1000,2245.130161
240,240000,1784.076836,1000,2252.894201
241,241000,2406.074583,1000,2265.894146
242,242000,1827.712698,1000,2273.652927
243,243000,2405.879935,1000,2281.309659
244,244000,1600.697312,1000,2289.059869
245,245000,1774.090433,1000,2296.818467
246,246000,1731.265555,1000,2304.535977
247,247000,2229.895157,1000,2312.182924
248,248000,2167.529672,1000,2319.925008
249,249000,2372.163176,1000,2327.578289
250,250000,1521.586725,1000,2335.343858
251,251000,2053.519526,1000,2348.633284
252,252000,1470.034837,1000,2356.452821
253,253000,2013.348339,1000,2364.247553
254,254000,2357.193325,1000,2371.887824
255,255000,2407.845918,1000,2379.590944
256,256000,2404.365214,1000,2387.263831
257,257000,2179.03786,1000,2394.883416
258,258000,1843.588844,1000,2402.587393
259,259000,1283.149224,1000,2410.558277
260,260000,1731.573797,1000,2418.470149
261,261000,1811.428773,1000,2431.388342
262,262000,2267.481256,1000,2439.060136
263,263000,1740.234356,1000,2447.313403
264,264000,1753.438987,1000,2456.968301
265,265000,1911.782832,1000,2466.182759
266,266000,1769.099757,1000,2475.150607
267,267000,2336.326033,1000,2483.854991
268,268000,2407.282622,1000,2492.690886
269,269000,1694.822105,1000,2501.597007
270,270000,2287.309024,1000,2510.468496
271,271000,2407.457401,1000,2525.118514
272,272000,2407.514381,1000,2535.03534
273,273000,2395.277408,1000,2545.21883
274,274000,2111.58891,1000,2555.095299
275,275000,2407.061428,1000,2565.200243
276,276000,2369.989361,1000,2575.039408
277,277000,2222.558641,1000,2584.912627
278,278000,2318.306028,1000,2595.054008
279,279000,2406.533449,1000,2605.425262
280,280000,2189.698514,1000,2616.187668
281,281000,1593.30896,1000,2632.383971
282,282000,2293.009029,1000,2641.750894
283,283000,2283.306727,1000,2651.075627
284,284000,2400.568775,1000,2660.430492
285,285000,2247.747126,1000,2669.480375
286,286000,2407.415004,1000,2678.569908
287,287000,2339.500145,1000,2687.526904
288,288000,2405.080244,1000,2696.430404
289,289000,2406.663107,1000,2705.973236
290,290000,2290.446035,1000,2716.391662
291,291000,1794.464966,1000,2733.554244
292,292000,1851.180108,1000,2743.621095
293,293000,1802.939811,1000,2753.32984
294,294000,2001.484344,1000,2762.74601
295,295000,2056.859906,1000,2771.806653
296,296000,1756.00268,1000,2780.85441
297,297000,2069.831523,1000,2789.789213
298,298000,2405.317357,1000,2798.575013
299,299000,2407.12167,1000,2807.435594
300,300000,2289.804503,1000,2816.64551
301,301000,1835.082047,1000,2834.194675
302,302000,1353.762931,1000,2845.429396
303,303000,2405.008318,1000,2856.969645
304,304000,2403.908106,1000,2867.376595
305,305000,2345.516005,1000,2878.102553
306,306000,2263.504891,1000,2889.181384
307,307000,1908.619418,1000,2898.590589
308,308000,1352.004473,1000,2908.132476
309,309000,2152.408071,1000,2917.749341
310,310000,2219.998741,1000,2927.06286
311,311000,2391.748193,1000,2942.073091
312,312000,1769.06624,1000,2951.573685
313,313000,1872.362341,1000,2960.761878
314,314000,1868.67245,1000,2971.124444
315,315000,1769.01429,1000,2981.70925
316,316000,2340.853707,1000,2992.275376
317,317000,2054.78839,1000,3003.498749
318,318000,2093.400139,1000,3012.941712
319,319000,2394.95667,1000,3022.411918
320,320000,2284.42657,1000,3032.055937
321,321000,1757.497958,1000,3047.887584
322,322000,1811.001586,1000,3057.630235
323,323000,1928.600803,1000,3067.077744
324,324000,1752.450972,1000,3076.277726
325,325000,2367.094661,1000,3085.245216
326,326000,1301.545499,1000,3094.339072
327,327000,2391.67391,1000,3103.321661
328,328000,1810.531034,1000,3112.364356
329,329000,2105.232983,1000,3121.93746
330,330000,2096.238219,1000,3132.326728
331,331000,1852.96369,1000,3148.928084
332,332000,1795.555434,1000,3158.500043
333,333000,2134.964119,1000,3169.017465
334,334000,2308.766599,1000,3180.261583
335,335000,1864.077787,1000,3191.524539
336,336000,2199.253822,1000,3201.994174
337,337000,1804.297561,1000,3211.408394
338,338000,2328.751517,1000,3220.527365
339,339000,2166.208729,1000,3229.59249
340,340000,1528.617595,1000,3238.761416
341,341000,2340.121393,1000,3255.298606
342,342000,1830.655188,1000,3265.39745
343,343000,1595.975143,1000,3275.78814
344,344000,2312.341321,1000,3286.287655
345,345000,1914.503558,1000,3297.206784
346,346000,1870.820136,1000,3307.529132
347,347000,2210.670514,1000,3316.530283
348,348000,1892.360292,1000,3325.527833
349,349000,2143.599584,1000,3334.448327
350,350000,1859.225074,1000,3343.417404
351,351000,2285.910397,1000,3357.779177
352,352000,2406.813782,1000,3366.69247
353,353000,1848.669805,1000,3376.338522
354,354000,1995.25815,1000,3385.497155
355,355000,1817.804574,1000,3394.493166
356,356000,1977.763559,1000,3403.658653
357,357000,2246.861442,1000,3412.640799
358,358000,1826.494015,1000,3421.609702
359,359000,1923.945117,1000,3430.536488
360,360000,2287.445272,1000,3439.462426
361,361000,1908.048982,1000,3455.146288
362,362000,1928.91118,1000,3465.075313
363,363000,2318.906325,1000,3474.85369
364,364000,2200.885888,1000,3484.616188
365,365000,2105.210158,1000,3494.702882
366,366000,1640.244728,1000,3504.879085
367,367000,2024.053324,1000,3514.120792
368,368000,2114.796351,1000,3523.388529
369,369000,1820.884992,1000,3532.598841
370,370000,1829.972552,1000,3541.734546
371,371000,2048.293558,1000,3556.827803
372,372000,2404.625042,1000,3565.925668
373,373000,2174.034588,1000,3575.202694
374,374000,2296.724339,1000,3584.230296
375,375000,2041.343969,1000,3593.332691
376,376000,1914.472807,1000,3602.322596
377,377000,1719.754366,1000,3611.592056
378,378000,2142.605874,1000,3620.736011
379,379000,1802.474676,1000,3629.976529
380,380000,1365.265856,1000,3639.208837
381,381000,1969.555082,1000,3654.182088
382,382000,1820.575616,1000,3663.302616
383,383000,2077.839402,1000,3672.585736
384,384000,1961.294728,1000,3681.591776
385,385000,1937.530388,1000,3690.713114
386,386000,2061.280596,1000,3699.889718
387,387000,2405.96728,1000,3708.988919
388,388000,1892.976393,1000,3718.107642
389,389000,2407.252862,1000,3727.17439
390,390000,2277.860221,1000,3736.141982
391,391000,2267.142448,1000,3751.728904
392,392000,2406.329003,1000,3760.962166
393,393000,2335.569291,1000,3770.662218
394,394000,1803.227553,1000,3780.16606
395,395000,1867.652031,1000,3789.804162
396,396000,2268.324755,1000,3798.792135
397,397000,1696.236644,1000,3807.959702
398,398000,2398.559983,1000,3816.99807
399,399000,1801.056297,1000,3826.315737
400,400000,1845.813128,1000,3835.392421
401,401000,2012.708786,1000,3850.576056
402,402000,2173.628119,1000,3859.638137
403,403000,1846.72271,1000,3868.792107
404,404000,1891.141214,1000,3878.206087
405,405000,2048.282537,1000,3887.313265
406,406000,2206.875869,1000,3896.233361
407,407000,2052.552627,1000,3905.642504
408,408000,1869.475291,1000,3916.12852
409,409000,2405.536748,1000,3926.346673
410,410000,1887.329323,1000,3936.929883
411,411000,2406.001713,1000,3952.953988
412,412000,2370.472871,1000,3962.496169
413,413000,2258.743388,1000,3971.895858
414,414000,1884.316342,1000,3981.566372
415,415000,2317.611871,1000,3990.64666
416,416000,2156.060153,1000,3999.871316
417,417000,2300.059188,1000,4009.393367
418,418000,2067.805078,1000,4018.754074
419,419000,1917.06268,1000,4027.897036
420,420000,1208.176222,1000,4038.709502
421,421000,2406.99085,1000,4055.544136
422,422000,1584.279766,1000,4066.03479
423,423000,2074.393783,1000,4076.988654
424,424000,2114.370923,1000,4086.8559
425,425000,1798.003897,1000,4096.428856
426,426000,1859.891427,1000,4105.75622
427,427000,1329.450174,1000,4115.172665
428,428000,2313.573455,1000,4124.540438
429,429000,2288.486322,1000,4133.710505
430,430000,2407.162431,1000,4142.729656
431,431000,1891.761125,1000,4157.687985
432,432000,1862.01375,1000,4166.777196
433,433000,2407.52279,1000,4175.677696
434,434000,1852.968178,1000,4184.702315
435,435000,2381.133167,1000,4193.73234
436,436000,2234.824263,1000,4202.65858
437,437000,1893.757209,1000,4211.853669
438,438000,2256.501533,1000,4220.970301
439,439000,2281.201679,1000,4230.002836
440,440000,2234.454127,1000,4239.255392
441,441000,1817.533353,1000,4254.57849
442,442000,2035.604236,1000,4263.593387
443,443000,1228.162033,1000,4272.790487
444,444000,2294.783146,1000,4282.181132
445,445000,1935.016042,1000,4291.285916
446,446000,1903.61372,1000,4300.366267
447,447000,2407.71195,1000,4309.29855
448,448000,2407.948764,1000,4318.380583
449,449000,1949.536828,1000,4327.53666
450,450000,1892.002363,1000,4336.673643
451,451000,2096.072857,1000,4351.49718
452,452000,2216.383085,1000,4360.522809
453,453000,2268.260996,1000,4369.719149
454,454000,1827.217543,1000,4378.805733
455,455000,1885.301888,1000,4388.093932
456,456000,1817.161404,1000,4397.353386
457,457000,1953.280488,1000,4406.505772
458,458000,2223.025413,1000,4415.511159
459,459000,2053.756048,1000,4424.609063
460,460000,2405.775283,1000,4433.487462
461,461000,2194.01103,1000,4448.21464
462,462000,2407.449606,1000,4457.20951
463,463000,2263.490097,1000,4466.262547
464,464000,1894.079745,1000,4475.416358
465,465000,2405.458344,1000,4484.370179
466,466000,2406.034783,1000,4493.4503
467,467000,2406.976919,1000,4502.486924
468,468000,2292.248934,1000,4511.66546
469,469000,1716.228328,1000,4520.795386
470,470000,2393.319214,1000,4529.844415
471,471000,1859.089956,1000,4545.018266
472,472000,2201.678733,1000,4554.232667
473,473000,1993.975091,1000,4563.355958
474,474000,2106.557042,1000,4572.520465
475,475000,2404.872878,1000,4581.5119
476,476000,2237.154841,1000,4590.5013
477,477000,1963.681223,1000,4599.629523
478,478000,2058.585873,1000,4609.021291
479,479000,1858.063119,1000,4618.169627
480,480000,2040.186398,1000,4627.309216
481,481000,1577.499932,1000,4642.095556
482,482000,2167.610968,1000,4651.141472
483,483000,2407.093042,1000,4659.979644
484,484000,1949.494053,1000,4669.02262
485,485000,1964.002653,1000,4679.157382
486,486000,1806.039479,1000,4688.896792
487,487000,1927.574708,1000,4698.251171
488,488000,2023.696155,1000,4707.745922
489,489000,2293.329416,1000,4717.059939
490,490000,1933.981155,1000,4726.542489
491,491000,1907.372701,1000,4741.628585
492,492000,2350.984442,1000,4750.833554
493,493000,1894.293248,1000,4760.297915
494,494000,2193.684694,1000,4769.593305
495,495000,1986.26462,1000,4778.941878
496,496000,1804.36878,1000,4788.263206
497,497000,1983.325418,1000,4797.728159
498,498000,2322.975663,1000,4806.967827
499,499000,1771.860904,1000,4816.243546
500,500000,2059.955774,1000,4825.49533
